,awardeeName,count
1217,Wichita State University,5
1227,"Woodwell Climate Research Center, Inc.",5
613,Meharry Medical College,4
1233,Xavier University of Louisiana,4
680,Naval Postgraduate School,4
885,Santa Fe Institute,4
1210,WestEd,4
1099,University of Nebraska Medical Center,4
1103,University of New England,4
169,CUNY College of Staten Island,4
186,"California State University, East Bay Foundation, Inc.",4
592,Marine Biological Laboratory,4
559,Loyola Marymount University,4
65,Amherst College,4
31,Aaniiih Nakoda College,4
1109,University of North Carolina Greensboro,4
226,Clark Atlanta University,4
190,California State University-Stanislaus,4
984,The Quilt,4
429,Hampton University,4
434,Harvey Mudd College,4
890,Scripps College,4
364,Fordham University,4
284,DePaul University,4
239,College of Charleston,4
1207,West Chester University of Pennsylvania,4
1222,Williams College,4
1135,University of San Diego,4
926,St Jude Children's Research Hospital,4
928,St Mary's University San Antonio,4
428,Hamilton College,4
1017,USENIX Association,4
863,SUNY Polytechnic Institute,4
877,Saint Olaf College,4
174,CUNY Queens College,4
216,Chicago State University,4
196,Carnegie Institution of Washington,4
494,Johnson C. Smith University,4
1026,University Industry Demonstration Partnership,4
848,SRI International,4
1050,University of Central Oklahoma,4
57,American Institutes for Research in the Behavioral Sciences,4
506,Kean University,4
541,Lawrence Technological University,4
1173,University of the Pacific,4
575,MGH Institute of Health Professions,4
41,Alabama A&M University,4
104,Bates College,4
470,Icahn School of Medicine at Mount Sinai,4
621,Middle Tennessee State University,3
633,Missouri State University,3
639,Montana Technological University,3
167,CUNY Brooklyn College,3
225,Claremont McKenna College,3
223,Citadel Military College of South Carolina,3
1105,University of New Haven,3
319,Eastern Michigan University,3
300,Duquesne University,3
1096,University of Missouri-Kansas City,3
1020,United States Naval Academy,3
1082,University of Maryland Eastern Shore,3
1025,"University Enterprises, Incorporated",3
1033,University of Alaska Southeast Juneau Campus,3
731,Occidental College,3
55,American Institute of Chemical Engineers,3
709,Northern Virginia Community College,3
588,Madison Area Technical College,3
612,Medical College of Wisconsin,3
767,Pomona College,3
203,Catholic University of America,3
200,"Cary Institute of Ecosystem Studies, Inc.",3
797,Rand Corporation,3
776,QUALITY EDUCATION FOR MINORITIES NETWORK,3
774,Providence College,3
819,Rocky Mountain Biological Laboratory,3
1175,Ursinus College,3
98,BSCS Science Learning,3
510,Kentucky Community & Technical College System,3
514,Kettering University,3
1119,University of North Texas Health Science Center at Fort Worth,3
857,SUNY College at Old Westbury,3
131,Bowie State University,3
263,Creighton University,3
986,The Scripps Research Institute,3
1001,Towson University,3
907,Smithsonian Institution,3
435,Haverford College,3
369,Franklin and Marshall College,3
888,Science Museum of Minnesota,3
105,Battelle Memorial Institute,3
1019,Union College,3
892,Seattle University,3
366,Fort Lewis College,3
455,IMPACT ALLIES INC,3
442,Hope College,3
245,Colorado College,3
971,Texas A&M University-San Antonio,3
951,THE ALLEN INSTITUTE FOR ARTIFICIAL INTELLIGENCE,3
960,"Teachers College, Columbia University",3
919,Southern University,3
918,Southern Oregon University,3
927,St Mary's College of Maryland,3
411,Grambling State University,3
373,Furman University,3
400,Gettysburg College,3
210,Central Washington University,3
238,Colgate University,3
243,College of the Holy Cross,3
46,Allegheny College,3
1205,Wentworth Institute of Tech,3
1208,West Texas A&M University,3
1244,qBraid Co.,2
1243,"hammonds, trajan",2
1242,Zaiput Flow Technologies LLC,2
1239,Yeshiva University,2
644,Morehouse School of Medicine,2
643,Morehouse College,2
642,Moravian University,2
641,Monterey Institute For Research in Astronomy,2
36,Aerodyne Research Inc,2
34,Adelphi University,2
24,ARTYC PBC,2
23,ARKANSAS RESEARCH ALLIANCE,2
51,American Association for the Advancement of Science,2
50,American Association for Aerosol Research,2
617,Miami Dade College,2
20,AQUA SCIENCE LLC,2
16,"ANEURISK, INC.",2
13,AMERICAN PRIME SUSTAINABLE SOLUTIONS LLC,2
9,"AERIS WATER TECHNOLOGIES, LLC",2
283,"Davis, Caroline",2
282,Davidson College,2
1134,University of Saint Mary,2
1132,University of Richmond,2
1129,University of Puerto Rico at Aguadilla,2
163,CRYPTO ASSET TECHNOLOGY LABS INC,2
395,Georgia Piedmont Technical College,2
130,Bowdoin College,2
127,"Booth, Katherine Williams",2
123,"Blazanin, Michael",2
141,"Brown, Tyler A",2
139,"Broomandkhoshbacht, Nasreen Zeeba",2
